# 主選單譯表(第 1 組)。格式:英文原文<TAB>繁體中文<TAB>備註
# 英文原文即 key(顯示層覆蓋)。對應主選單六個按鈕(MAINMENU.LBX 烘進圖的英文)。
Continue	繼續	主選單:接續上次遊戲
Load Game	載入遊戲	主選單
New Game	新遊戲	主選單
Multi Player	多人對戰	主選單
Hall of Fame	名人堂	主選單:歷代高分榜
Quit Game	結束遊戲	主選單
Colonies	殖民地	星系工具列
Planets	行星	星系工具列
Fleets	艦隊	星系工具列
Zoom	縮放	星系工具列
Game	遊戲	主畫面標題
Leaders	領袖	星系工具列
Races	種族	星系工具列
Info	情報	星系工具列
Turn	回合	星系工具列
Game	遊戲	星系工具列
FLEET OPERATIONS	艦隊作戰	艦隊列表標題
ALL	全部	艦隊列表按鈕
RELOCATE	調動	艦隊列表按鈕
SCRAP	拆解	艦隊列表按鈕
LEADERS	軍官	艦隊列表按鈕
Support	支援	艦隊列表切換
Combat	戰鬥	艦隊列表切換
RETURN	返回	艦隊列表按鈕
DIFFICULTY	難度	新遊戲
GALAXY SIZE	星系大小	新遊戲
GALAXY AGE	星系年齡	新遊戲
PLAYERS	玩家數	新遊戲
RACE	種族	新遊戲
TECH LEVEL	科技等級	新遊戲
TACTICAL COMBAT	戰術戰鬥	新遊戲
RANDOM EVENTS	隨機事件	新遊戲
ANTARANS ATTACK	安塔蘭攻擊	新遊戲
CANCEL	取消	新遊戲
ACCEPT	接受	新遊戲
