# 隨機星名池譯表(STARNAME.LBX asset1)。英文原文即 key。
# 來源:原版 829 條隨機星名(銀河生成時分配給非母星恆星,見 docs/tech/proper-noun-strategy.md);
# 逐條核對後 829 條英文名彼此互不重複(即去重後仍為 829 條)。與母星名 starname.tsv(asset0,13 條
# 固定母星)分屬不同 asset,勿混用。
#
# 內容盤點(逐條核對後的實際組成,非泛用「短音節」假設):除大量 2-4 字母虛構短音節外,
# 這份表其實大量借用了(1)真實恆星/星座學名(Vega/Rigel/Sadr/Deneb/Aldebaran/Fomalhaut、
# Draco/Lyra/Crux/Cygni/Taurus 等星座屬格)、(2)克蘇魯神話 + Dunsany/Clark Ashton Smith 專有名詞
# (Arkham/Carcosa/Hastur/Yaddith/Kadath/Ulthar/R'lyeh/Hyperborea/Zothique/Poseidonis 等)、
# (3)圍棋術語彩蛋(Joseki/Fuseki/Sente/Gote/Atari/Komi/Tesuji 等,依標準中文圍棋術語譯出,
# 保留原設計的隱藏樂趣)、(4)歷史/神話/科學人名地名(Galileo/Hawking/Ptolemy/Babylon/Osiris 等)。
#
# 翻譯方案(2026-07-11 落地):查得到真名的一律優先意譯/採用既定中文譯名(恆星/星座沿用天文界
# 慣用漢名,圍棋術語沿用中文圍棋界慣用術語,神話/人名沿用常見譯名);查無實據的短促虛構音節採
# 規則化音譯(短促、避生僻字、避與真名撞)。少數真假難辨或查證把握度較低的條目已盡力給出音譯或
# 最相近的既定譯名,把握度低於其餘條目,詳見交付回報列出的覆核清單。
Abbith	阿比斯
Abeen	阿賓
Acamar	天苑一
Achir	阿基爾
Actaeus	阿克泰烏斯
Aden	亞丁
Adib	阿迪布
Aji	餘味
Akrab	阿克拉布
Alacast	阿拉卡斯特
Alaozar	阿勞扎爾
Alar	阿拉爾
Alcor	輔
Aldebaran	畢宿五
Aleph	阿列夫
Algeiba	軒轅十二
Algol	大陵五
Alpha	阿爾法
Anchat	安查特
Andromeda	仙女座
Anraq	安拉克
Antarktos	安塔克托斯
Aquilae	天鷹
Aran	阿蘭
Arcturus	大角
Argus	阿爾戈斯
Arietis	白羊
Arkab	阿爾卡布
Arkham	阿卡姆
Arlyeh	阿萊耶
Aroch	阿羅克
Artemis	阿爾忒彌斯
Ascellus	阿塞盧斯
Asterion	阿斯特里翁
Atari	打吃
Atsui	阿蘇伊
Audax	奧達克斯
Aurora	奧羅拉
Avellar	阿維拉爾
Axion	軸子
Ayil	阿伊爾
Azimon	阿茲蒙
Baalbo	巴爾博
Baaltis	巴爾提斯
Babylon	巴比倫
Bagdei	巴格迪
Baham	巴哈姆
Balik	巴利克
Barcada	巴爾卡達
Barv	巴弗
Benat	貝納特
Berel	貝雷爾
Bestia	貝斯提亞
Beta Ceti	鯨魚座β
Bethmoora	貝斯穆拉
Bier	比爾
Biot	比奧
Birdon	伯登
Blucher	布呂歇爾
Bogina	博吉娜
Bolo	波洛
Bootes	牧夫座
Borea	波瑞亞
Boshi	尖頂
Brachium	布拉基烏姆
Browntes	布戎特斯
Brutum	布魯圖姆
Bubulus	布布盧斯
Bue	布埃
Bulan	布蘭
Bunda	邦達
Bungula	邦古拉
Burin	布林
Bussola	布索拉
Butain	布坦
Cabrilla	卡布里拉
Cadmus	卡德摩斯
Caeleb	迦勒
Callisto	卡利斯托
Camelus	卡梅盧斯
Canis	犬座
