# 殖民經濟摘要 + 回合報告訊息(RSTRING0.LBX,loadStrings offset 4,177 條)。英文原文即 key。完整翻譯。
There's a space anomaly!	出現空間異常!	報告
 (no barracks)	 (無兵營)	標籤
Unification has no morale.	統一政體沒有士氣。	標籤
Government Morale	政府士氣	摘要
No Capital	無首都	標籤
Mixed Races	混合種族	標籤
Bonus	加成	摘要
Leader Bonus	領袖加成	摘要
Total Morale	總士氣	摘要
Morale Summary	士氣摘要	摘要
Produced By Farmers	農民生產	摘要
Aquatic Bonus	水棲加成	摘要
Native Bonus	原住民加成	摘要
Android Bonus	機器人加成	摘要
Base	基礎	摘要
Gravity Penalty	重力懲罰	摘要
Conquered Penalty	征服懲罰	摘要
Blockaded	遭封鎖	摘要
Morale Bonus	士氣加成	摘要
Morale Penalty	士氣懲罰	摘要
Government Bonus	政府加成	摘要
Government Penalty	政府懲罰	摘要
Total Food Produced	食物總產	摘要
Food Summary	食物摘要	摘要
Produced By Workers	工人生產	摘要
 Used	 已使用	摘要
Pollution Penalty	污染懲罰	摘要
replicated to %d food	複製為 %d 食物	摘要
Taxed	徵稅	摘要
Total Industry Produced	工業總產	摘要
Industry Summary	工業摘要	摘要
Produced By Scientists	科學家生產	摘要
Artifacts Bonus	遺物加成	摘要
Intelligence Bonus	智力加成	摘要
Total Research Produced	研究總產	摘要
Research Summary	研究摘要	摘要
Taxes Collected	徵得稅收	摘要
Special Income	特殊收入	摘要
Trade Goods	貿易品	摘要
Taxed from industry	自工業徵稅	摘要
Total Income	總收入	摘要
BC Summary	星幣摘要	摘要
starting command points	起始指揮點	摘要
%d from %d star bases\n	%d 來自 %d 座星際基地\n	摘要
%d from 1 star base\n	來自 1 座星際基地 %d\n	摘要
%d from %d battlestations\n	%d 來自 %d 座戰鬥站\n	摘要
%d from 1 battlestation\n	來自 1 座戰鬥站 %d\n	摘要
%d from %d fortresses\n	%d 來自 %d 座要塞\n	摘要
%d from 1 fortress\n	來自 1 座要塞 %d\n	摘要
from Warlord ability	來自軍閥能力	摘要
from Imperium government	來自帝國政體	摘要
total command points	總指揮點	摘要
%d from 1 %s\n	%d 來自 1 艘 %s\n	摘要
%d from %d %s\n	%d 來自 %d 艘 %s\n	摘要
%d from 1 noncombat ship\n	來自 1 艘非戰鬥船艦 %d\n	摘要
%d from %d noncombat ships\n	%d 來自 %d 艘非戰鬥船艦\n	摘要
total command point used	已使用指揮點	摘要
total command points used	已使用指揮點	摘要
Ship maintenance costs	船艦維護費	摘要
Command Summary	指揮摘要	摘要
Defender only has noncombat ships, which are destroyed.	防禦方只剩非戰鬥船艦,已被摧毀。	報告
You have the following treaties:	你已簽訂下列條約:	外交
Trade treaty	貿易條約	外交
Research treaty	研究條約	外交
Receiving tribute	收取貢金	外交
Do you really wish to risk a war?	你真的想冒著開戰的風險嗎?	確認
