# 探索特殊事件描述(MAINTEXT.LBX,loadFile,14 條)。英文原文即 key。Sonnet 翻 + Opus 驗。
No Special	無特殊	探索
A weakness in the fabric of hyperspace greatly accelerates travel between the system and another nearby system, adding +2 to the hyperspace speed of ships, but the ships must first have warp drives.	超空間結構中存在一處薄弱點,大幅加快本星系與鄰近另一星系之間的航行速度,使艦艇的超空間航速額外提升+2,但艦艇必須先裝備曲速引擎才能受益。	探索
Valuable remnants of ship wreckage are found orbiting one of the planets, and has already been quickly converted to 50 BC.	在其中一顆行星軌道上發現了一批珍貴的船艦殘骸,已迅速變賣折算為50BC。	探索
A pirate's stash is found on one of the planets and contained 100 BC.	在其中一顆行星上發現了一批海盜的藏寶,內含100BC。	探索
One of the planets in the system contains extensive gold deposits and will generate +5 BC per turn once a colony has been established on the planet.	本星系中有一顆行星蘊藏豐富的黃金礦脈,一旦在該行星上建立殖民地,每回合將額外產生+5BC。	探索
One of the planets in the system contains extensive gem deposits and will generate +10 BC per turn once a colony has been established on the planet.	本星系中有一顆行星蘊藏豐富的寶石礦脈,一旦在該行星上建立殖民地,每回合將額外產生+10BC。	探索
Humanoid life has already begun on the world. When you land on the planet, you integrate them into your colony. Once integrated they may only work the farms, and will not leave the planet to colonize elsewhere. Furthermore, the natives do not gain the racial bonuses of your race.	這顆星球上已經有人形生命存在。當你的部隊登陸後,他們將被納入你的殖民地。歸化之後,這些原住民只能從事農耕工作,不會離開該星球前往他處拓殖。此外,這些原住民不會獲得你所屬種族的種族加成。	探索
A colony once broke off from your race and formed a separate colony. The colony is small (3 population) and will want to integrate into your society once again.	一支殖民隊伍曾經脫離你的種族,自立門戶建立了獨立的殖民地。這個殖民地規模不大(人口3),如今渴望重新融入你的社會。	探索
A industrialized race has colonized one of the planets in the system. Their civilization is pre-warp and cannot leave the star system. The colony is large (5 population) and they have a small fleet and will defend their system.	本星系中有一顆行星已被一支工業化種族殖民。他們的文明尚未發展出曲速科技,無法離開這個星系。該殖民地規模龐大(人口5),並擁有一支小型艦隊,會為保衛家園而戰。	探索
A small space monster resides the star system and will attack any ships that attempt to enter the system.	一隻小型太空怪獸棲息在這個星系中,會攻擊任何試圖進入該星系的艦艇。	探索
An extremely advanced civilization once inhabited this world and has inexplicably disappeared, leaving relics of wonder that adds +2 points to the research generated by each scientist on a planet. The first player to discover the system gets one or two free technology advancements	一支極度先進的文明曾在這顆星球上生活,卻莫名其妙地消失了,留下了令人驚嘆的遺跡,使該行星上每位科學家產生的研究點數額外增加+2。第一位發現這個星系的玩家將獲得一到兩項免費的科技進展。	探索
 The Guardian defends the ruins of the ancient Orion homeworld. To plunder Orion's riches you must defeat the Guardian.	守護者鎮守著歐里恩古代母星的遺跡。若要奪取歐里恩的寶藏,你必須先擊敗守護者。	探索
Trade Goods converts the production of a colony into BCs for the imperial treasury.	貿易商品能將殖民地的生產力轉換為帝國國庫的BC收入。	探索
Housing converts the production of a colony into population growth.	住宅設施能將殖民地的生產力轉換為人口成長。	探索
