# GNN 事件新聞訊息(EVENTMSE.LBX,loadFile,99 條)。英文原文即 key,\xNN 為變數插入控制碼
# (\x8f\x90 帝國名/\x90 種族/\x91\x92 敵帝國/\x80 行星/\x8b 星系/\x81 數字/\x82 百分比/\x83\x84 複數/\x85 艦隊/\x86 科技/\x89 軍官/\x8c 礦級/\x8d\x8e 科技),中文保留並重新定位。完整翻譯。
You are tuned to GNN, your source for all the news you need to know.	您正收看 GNN,提供您所需一切新聞的來源。	GNN
Galactic News Network, the galaxy's most watched information source.	銀河新聞網,銀河收視最高的資訊來源。	GNN
GNN. Where the news comes first.	GNN,新聞搶先報。	GNN
This is GNN, bringing you today's headlines from across the galaxy.	這裡是 GNN,為您帶來今日來自銀河各地的頭條。	GNN
And elsewhere in the galaxy,	而在銀河的其他角落,	GNN
Also making headlines today,	今日另一則頭條,	GNN
And now, in a GNN exclusive story,	現在,GNN 獨家報導,	GNN
GNN was also first on the scene to bring you this important headline:	GNN 也第一時間到場,為您帶來這則重要頭條:	GNN
Today marked a major scientific breakthrough for \x8f\x90 Empire, when archeologists uncovered the secret of \x8d in the wreckage of an ancient, mysterious ship.	\x8f\x90 帝國今日取得重大科學突破,考古學家在一艘古老神祕船艦的殘骸中,揭開了 \x8d 的祕密。	事件
Scientists in \x8f\x90 Empire have salvaged the key to \x8d and \x8e from the remains of an ancient alien ship.	\x8f\x90 帝國的科學家從一艘古老異族船艦的殘骸中,搶救出 \x8d 與 \x8e 的關鍵。	事件
Farmers in \x8f\x90 Empire rejoiced when a sudden shift of the \x80 colony's planetary axis resulted in an improvement of its environment to terran norms.	\x8f\x90 帝國的農民歡欣鼓舞,\x80 殖民地的行星軸突然偏移,使其環境改善至類地水準。	事件
Astronomers predict that a comet will collide with the \x80 colony within \x81 year\x83. Unless \x8f\x90 Empire military can destroy it, the colony will be destroyed.	天文學家預測一顆彗星將在 \x81 年\x83 內撞上 \x80 殖民地。除非 \x8f\x90 帝國軍隊能摧毀它,否則該殖民地將被毀滅。	事件
\x82 percent of the comet due to strike the colony on \x80 in \x81 year\x83 has been destroyed by \x8f\x90 military.	即將在 \x81 年\x83 內撞擊 \x80 殖民地的彗星,已有百分之 \x82 被 \x8f\x90 軍隊摧毀。	事件
The people of \x80 colony celebrated today when \x8f\x90 star fleet destroyed the comet that threatened their planet.	\x80 殖民地的人民今日歡慶,\x8f\x90 星際艦隊摧毀了威脅其行星的彗星。	事件
Millions of \x90 citizens died today when a huge comet struck the \x80 colony.	一顆巨大彗星今日撞上 \x80 殖民地,數百萬 \x90 公民喪生。	事件
Scientists in \x8f\x90 Empire were shocked to discover a virus in the \x86 research center's computers. All systems were infected, totaling a loss of \x81 research point\x83.	\x8f\x90 帝國的科學家震驚地發現 \x86 研究中心的電腦感染病毒。所有系統遭感染,共損失 \x81 點研究\x83。	事件
A diplomat in \x91\x92 Empire was caught planning an assassination attempt on a top official in \x8f\x90 Empire. Diplomatic relations between the two empires has weakened.	\x91\x92 帝國的一名外交官被發現正密謀暗殺 \x8f\x90 帝國的一名高官。兩國的外交關係因此惡化。	事件
A diplomatic marriage between \x8f\x90 ambassador and a top member of \x91\x92 military occurred today. The diplomatic relations between the empires has been greatly improved.	\x8f\x90 帝國大使與 \x91\x92 帝國軍方要員今日聯姻。兩國的外交關係因此大幅改善。	事件
A wealthy merchant has contributed \x81 BC to \x8f\x90 Empire.	一名富商向 \x8f\x90 帝國捐獻了 \x81 星幣。	事件
A violent earthquake hit the colony of \x80, killing \x81 million colonists in \x8f\x90 Empire, and destroying \x82 building\x84.	一場劇烈地震襲擊 \x80 殖民地,使 \x8f\x90 帝國的 \x81 百萬殖民者喪生,並摧毀了 \x82 座建築\x84。	事件
An earthquake hit the colony of \x80, destroying \x81 building\x83. Luckily, \x8f\x90 Empire suffered no fatalities.	一場地震襲擊 \x80 殖民地,摧毀了 \x81 座建築\x83。所幸 \x8f\x90 帝國無人喪生。	事件
A military \x85 ship mysteriously exploded. An investigation into the cause is underway.	一艘軍用 \x85 船艦神祕爆炸。起因調查正在進行中。	事件
A ship in the \x85 fleet inexplicably exploded, killing legendary officer \x89.	\x85 艦隊中一艘船艦莫名爆炸,傳奇軍官 \x89 因此殉職。	事件
The galaxy has sighed in collective relief as the hyperspace flux that sealed entry into hyperspace ended as mysteriously as it began.	封閉超空間入口的超空間亂流,如其出現般神祕地結束,整個銀河鬆了一口氣。	事件
