immutable_key	semantic	evidence_doc	spec_doc	spec_state	source_paths	test_paths	implementation_state	verification_state	correction_marker
dos-orion2-1.31:0x589D6	NPC 三組 raw profile trait 權重	docs/re/ai-trait-profile-tech-homeworld-audit-20260830.md	docs/spec/ai-profile-trait-conversion-order.md	READY	internal/gamedata/starting_original_application.go;internal/shell/session.go	internal/gamedata/starting_original_application_test.go;internal/shell/ai_research_test.go	PARTIAL	INSUFFICIENT	CORRECTION-20260830-PROFILE-W4
dos-orion2-1.31:0xFC845	AI／真人科技應用估值與 trait category 覆寫	docs/re/ai-trait-profile-tech-homeworld-audit-20260830.md;docs/re/starting-tech-application-audit-20260825.md	docs/spec/ai-starting-tech-valuation.md	READY	internal/gamedata/starting_original_application.go;internal/shell/ai_research.go	internal/gamedata/starting_original_application_test.go;internal/shell/ai_research_test.go	PARTIAL	INTERNAL	CORRECTION-20260830-PROFILE-UPSTREAM
dos-orion2-1.31:0x62C70	Advanced Civilization 全圖行星分配與平衡	docs/re/advanced-civilization-planets-audit-20260830.md	docs/spec/advanced-civilization-opening.md	READY	-	-	MISSING	NONE	NONE
dos-orion2-1.31:0xE5832	Advanced Civilization Money 初始國庫	docs/re/ai-trait-profile-tech-homeworld-audit-20260830.md	docs/spec/advanced-civilization-opening.md	READY	-	-	MISSING	NONE	NONE
dos-orion2-1.31:0x23DFE	事件 16 瘟疫與事件 24 超新星殖民地回合／研究轉用 filter	docs/re/event-colony-research-diversion-audit-20260825.md;docs/re/evidence/event-diversion-types-ida-20260830.json	docs/spec/event-colony-research-diversion.md	CONFORMED	internal/engine/empire.go;internal/shell/session.go	internal/engine/empire_test.go;internal/engine/ai_original_jobs_test.go;internal/shell/events_persistent_test.go	CONFORMED	INTERNAL	CORRECTION-20260830-EVENT-STATE-NOT-TYPE
dos-orion2-1.31:0xD3D34	原版 AI 回合暫存資料生命週期與完整直接 consumer census	docs/re/compute-ai-data-consumer-census-20260830.md;docs/re/evidence/compute-ai-data-consumers-ida-20260830.json	docs/spec/original-ai-turn-data.md	READY	internal/engine/ai_original_jobs.go;internal/shell/ai_research.go	internal/engine/ai_original_jobs_test.go;internal/shell/ai_research_test.go	PARTIAL	INTERNAL	CORRECTION-20260830-AI-CACHE-CONSUMERS
dos-orion2-1.31:0xD10EE	AI 帝國配額與殖民地艦艇／特殊產品六路抽選	docs/re/ai-ship-products-audit-20260828.md;docs/re/evidence/ai-ship-products-ida-20260828.json	docs/spec/ai-ship-products.md	READY	internal/shell/ai_colony_build.go;internal/shell/spy.go	internal/shell/ai_colony_build_test.go;internal/shell/spy_test.go	PARTIAL	INTERNAL	CORRECTION-20260830-AI-PRODUCT-CODES
dos-orion2-1.31:0x63D92	安塔蘭週期入侵、逐座標航行與戰後 offensive pool 回收	docs/re/antaran-periodic-invasion-audit-20260825.md;docs/re/seven-group-closure-audit-20260830.md	docs/spec/antaran-periodic-invasion.md	READY	internal/gamedata/antaran_invasion.go;internal/shell/antaran_invasion.go	internal/gamedata/antaran_invasion_test.go;internal/shell/antares_test.go	PARTIAL	INTERNAL	CORRECTION-20260830-OWNER8-LIFECYCLE
dos-orion2-1.31:0xA16BF	事件怪獸航行、戰鬥與 Plasma Flux 飛行物 consumer	docs/re/event-monster-route-audit-20260825.md;docs/re/seven-group-closure-audit-20260830.md	docs/spec/event-monster-route.md	READY	internal/shell/monster.go;internal/shell/monster_special.go	internal/shell/event_monster_route_test.go;internal/shell/monster_tactical_test.go;internal/shell/monster_special_test.go	PARTIAL	INTERNAL	CORRECTION-20260830-NO-MIDROUTE-BATTLE
dos-orion2-1.31:0x2552D	AI ordered-pair 協議與政府科技演化	docs/re/npc-treaty-negotiations-audit-20260827.md;docs/re/seven-group-closure-audit-20260830.md	docs/spec/npc-treaty-negotiations.md	CONFORMED	internal/ai/diplomacy.go;internal/shell/diplomacy_growth.go	internal/ai/diplomacy_test.go;internal/shell/diplomacy_growth_test.go;internal/shell/government_test.go	PARTIAL	INTERNAL	CORRECTION-20260830-TREATY-GOV-CENSUS
dos-orion2-1.31:0x233AB	狀態播報 29–35 與投降延後資產 consumer	docs/re/event-status-broadcasts-audit-20260825.md;docs/re/seven-group-closure-audit-20260830.md	docs/spec/event-status-broadcasts.md	READY	internal/shell/events_broadcast.go;internal/shell/empire_surrender.go	internal/shell/events_broadcast_test.go;internal/shell/empire_surrender_test.go	PARTIAL	INTERNAL	CORRECTION-20260830-UNUSED-SETTERS-33-35
